AÑO_ACCIDENTE,MES_ACCIDENTE,CONDICION_VICTIMA,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SEXO_VICTIMA,EDAD_VICTIMA,CANTIDAD_VICTIMAS
2015,1,herido,Acompañante,Choque,F,30,1
2015,1,herido,Acompañante,Choque,F,55,1
2015,1,herido,Acompañante,Choque,F,6,1
2015,1,herido,Acompañante,Choque,M,29,1
2015,1,herido,Acompañante,Choque,M,59,1
2015,1,herido,Conductor,Choque,F,27,1
2015,1,herido,Conductor,Choque,M,-1,2
2015,1,herido,Conductor,Choque,M,21,1
2015,1,herido,Conductor,Choque,M,31,1
2015,1,herido,Conductor,Choque,M,42,1
2015,1,herido,Conductor,Choque,M,47,1
2015,1,herido,Conductor,Choque,M,48,1
2015,1,herido,Motociclista,Atropello,F,57,1
2015,1,herido,Motociclista,Atropello,M,-1,2
2015,1,herido,Motociclista,Atropello,M,21,1
2015,1,herido,Motociclista,Atropello,M,37,1
2015,1,herido,Motociclista,Choque,F,-1,1
2015,1,herido,Motociclista,Choque,F,28,1
2015,1,herido,Motociclista,Choque,M,-1,12
2015,1,herido,Motociclista,Choque,M,19,1
2015,1,herido,Motociclista,Choque,M,23,2
2015,1,herido,Motociclista,Choque,M,24,1
2015,1,herido,Motociclista,Choque,M,26,2
2015,1,herido,Motociclista,Choque,M,27,1
2015,1,herido,Motociclista,Choque,M,28,1
2015,1,herido,Motociclista,Choque,M,31,1
2015,1,herido,Motociclista,Choque,M,32,2
2015,1,herido,Motociclista,Choque,M,33,1
2015,1,herido,Motociclista,Choque,M,41,1
2015,1,herido,Motociclista,Choque,M,48,1
2015,1,herido,Motociclista,Volcamiento,M,32,1
2015,1,muerto,Motociclista,Choque,M,-1,1
2015,1,herido,Pasajero,Caida Ocupante,M,1,1
2015,1,herido,Pasajero,Caida Ocupante,M,27,1
2015,1,herido,Pasajero,Choque,F,19,1
2015,1,herido,Pasajero,Choque,F,24,1
2015,1,herido,Pasajero,Choque,F,33,1
2015,1,herido,Pasajero,Choque,F,5,1
2015,1,herido,Pasajero,Choque,M,18,1
2015,1,herido,Pasajero,Choque,M,24,2
2015,1,herido,Pasajero,Choque,M,28,1
2015,1,herido,Pasajero,Choque,M,29,1
2015,1,herido,Pasajero,Choque,M,35,1
2015,1,herido,Pasajero,Choque,M,37,1
2015,1,herido,Pasajero,Choque,M,39,1
2015,1,herido,Pasajero,Choque,M,43,1
2015,1,herido,Pasajero,Choque,M,46,1
2015,1,herido,Pasajero,Choque,M,47,1
2015,1,herido,Pasajero,Choque,M,75,1
2015,1,herido,Pasajero,Volcamiento,F,37,1
2015,1,herido,Peaton,Atropello,F,43,1
2015,1,herido,Peaton,Atropello,F,63,1
2015,1,herido,Peaton,Atropello,F,67,1
2015,1,herido,Peaton,Atropello,F,76,1
2015,1,herido,Peaton,Atropello,M,24,1
2015,1,herido,Peaton,Atropello,M,53,1
2015,1,herido,Peaton,Atropello,M,62,1
2015,1,herido,Peaton,Atropello,M,66,1
2015,1,herido,Peaton,Atropello,M,68,1
2015,1,herido,Peaton,Atropello,M,9,1
2015,1,herido,Peaton,Choque,M,17,1
2015,1,herido,Peaton,Choque,M,30,1
2015,1,muerto,Peaton,Atropello,M,34,1
2015,1,muerto,Peaton,Atropello,M,62,1
2015,2,herido,Acompañante,Atropello,M,25,1
2015,2,herido,Acompañante,Choque,F,10,1
2015,2,herido,Acompañante,Choque,F,13,1
2015,2,herido,Acompañante,Choque,F,50,1
2015,2,herido,Acompañante,Choque,M,17,1
2015,2,herido,Acompañante,Choque,M,20,1
