,FECHA_ACCIDENTE,AÑO_ACCIDENTE,MES_ACCIDENTE,DIA_ACCIDENTE,HORA_ACCIDENTE,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SITIO_EXACTO_ACCIDENTE,CANT_HERIDOS_EN _SITIO_ACCIDENTE,CANT_MUERTOS_EN _SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES,longitude,latitude
0,01/01/2015 12:00:00 AM,"2,015",1,Jue,02:10:00:PM,Con heridos,Choque,VIA 40 CON 77,1.0,,1,-74.7953998,11.0161065
1,01/01/2015 12:00:00 AM,"2,015",1,Jue,02:15:00:PM,Solo daños,Choque,CALLE 14 CR 13,,,1,-74.77188220000001,10.9529652
2,01/01/2015 12:00:00 AM,"2,015",1,Jue,02:20:00:PM,Solo daños,Choque,CL 74 CR 38C,,,1,-74.81218319999998,10.9872948
3,01/01/2015 12:00:00 AM,"2,015",1,Jue,03:30:00:PM,Con heridos,Choque,CL 45 CR 19,2.0,,1,-74.7947307,10.9583636
4,01/01/2015 12:00:00 AM,"2,015",1,Jue,04:20:00:AM,Solo daños,Choque,CRA 15 CLLE 21,,,1,-74.77620259999998,10.9535005
5,01/01/2015 12:00:00 AM,"2,015",1,Jue,04:40:00:PM,Con heridos,Choque,CRA 14 CLLE 35,2.0,,1,-74.7888007,10.951457000000001
6,01/01/2015 12:00:00 AM,"2,015",1,Jue,04:50:00:PM,Con heridos,Atropello,CRA 6 CLLE 90,1.0,,1,-74.8239093,10.9449431
7,01/01/2015 12:00:00 AM,"2,015",1,Jue,06:00:00:AM,Solo daños,Choque,CRA 6 CLLE 92,,,1,-74.82560190000001,10.944427699999999
8,01/01/2015 12:00:00 AM,"2,015",1,Jue,07:50:00:PM,Solo daños,Choque,CALLE 99 CR 56,,,1,-74.82628969999998,11.016065600000001
9,01/01/2015 12:00:00 AM,"2,015",1,Jue,09:25:00:PM,Solo daños,Choque,CL 47 CR 24,,,1,-74.79255140000001,10.9671994
10,01/02/2015 12:00:00 AM,"2,015",1,Vie,01:00:00:PM,Solo daños,Choque,CLLE 64 CRA 44,,,1,-74.79912,10.988912
11,01/02/2015 12:00:00 AM,"2,015",1,Vie,03:10:00:PM,Solo daños,Choque,CALLE 110 CR 51B,,,1,-74.83785329999998,11.016815199999998
12,01/02/2015 12:00:00 AM,"2,015",1,Vie,04:00:00:PM,Solo daños,Choque,CL 80 CR 42H,,,1,-74.8162959,10.995716499999999
13,01/02/2015 12:00:00 AM,"2,015",1,Vie,04:05:00:PM,Solo daños,Choque,AV CIRCUNVALAR CR 43 Y CR 46,,,1,-74.83877919999998,10.994553300000002
14,01/02/2015 12:00:00 AM,"2,015",1,Vie,04:20:00:AM,Con muertos,Atropello,CLLE 19 CRA 1,,1.0,1,-74.77969859999999,10.936994
15,01/02/2015 12:00:00 AM,"2,015",1,Vie,04:40:00:PM,Solo daños,Choque,CR 46 CL 79,,,1,-74.8120945,10.997987
16,01/02/2015 12:00:00 AM,"2,015",1,Vie,05:19:00:PM,Solo daños,Choque,CL 72 CR 53,,,1,-74.80249559999999,10.9983163
17,01/02/2015 12:00:00 AM,"2,015",1,Vie,05:45:00:PM,Solo daños,Choque,CLLE 53 CRA 46,,,1,-74.78952159999999,10.9885747
18,01/02/2015 12:00:00 AM,"2,015",1,Vie,06:30:00:PM,Solo daños,Choque,CR 53 CL 82,,,1,-74.81332689999998,11.0061612
19,01/02/2015 12:00:00 AM,"2,015",1,Vie,07:40:00:AM,Solo daños,Choque,CR 27 CL 38,,,1,-74.7855907,10.967666099999999
20,01/02/2015 12:00:00 AM,"2,015",1,Vie,08:15:00:AM,Solo daños,Choque,CRA 14 CLLE 38B,,,1,-74.7931936,10.952881199999998
21,01/02/2015 12:00:00 AM,"2,015",1,Vie,09:00:00:AM,Solo daños,Choque,CALLE 64 CR 47,,,1,-74.7981296,10.9924131
22,01/02/2015 12:00:00 AM,"2,015",1,Vie,09:30:00:PM,Solo daños,Choque,CLLE 87 CRA 9G,,,1,-74.8250156,10.958247
