,date,home_team,away_team,home_result,away_result,junior_won,relevance
0,2019-10-09,JUNIOR,DEPORTIVO CALI,3,0,WON,MEDIUM
1,2019-10-06,ATL. NACIONAL,JUNIOR,0,1,WON,HIGH
2,2019-10-03,JUNIOR,LA EQUIDAD,1,0,WON,LOW
3,2019-09-30,U. MAGDALENA,JUNIOR,1,1,DRAW,HIGH
4,2019-09-22,JUNIOR,JAGUARES DE CÓRDOBA,3,0,WON,LOW
5,2019-09-15,ATL. HUILA,JUNIOR,1,1,DRAW,LOW
6,2019-10-25,JUNIOR,DEPORTIVO CALI,2,2,DRAW,MEDIUM
7,2019-09-07,JUNIOR,U. MAGDALENA,1,0,WON,HIGH
8,2019-09-01,ATL. BUCARAMANGA,JUNIOR,0,0,DRAW,LOW
9,2019-08-29,DEPORTIVO CALI,JUNIOR,2,1,LOST,MEDIUM
10,2019-08-24,JUNIOR,ONCE CALDAS,0,1,LOST,MEDIUM
11,2019-08-21,ENVIGADO,JUNIOR,0,0,DRAW,LOW
12,2019-08-18,JUNIOR,IND. SANTA FE,1,0,WON,MEDIUM
13,2019-08-15,ATL. BUCARAMANGA,JUNIOR,1,2,WON,LOW
14,2019-08-11,RIONEGRO ÁGUILAS,JUNIOR,1,0,LOST,LOW
15,2019-08-08,JUNIOR,ATL. BUCARAMANGA,2,0,WON,LOW
16,2019-08-04,JUNIOR,AMÉRICA DE CALI,0,1,LOST,HIGH
17,2019-07-28,IND. MEDELLÍN,JUNIOR,0,1,WON,LOW
18,2019-07-21,PATRIOTAS,JUNIOR,2,0,LOST,LOW
19,2019-07-13,JUNIOR,TOLIMA,1,0,WON,LOW
20,2019-10-25,DEP. PASTO,JUNIOR,1,1,DRAW,LOW
21,2019-06-08,JUNIOR,DEP. PASTO,1,0,WON,LOW
22,2019-06-05,ATL. NACIONAL,JUNIOR,2,3,WON,HIGH
23,2019-06-02,JUNIOR,DEPORTIVO CALI,2,0,WON,MEDIUM
24,2019-05-26,TOLIMA,JUNIOR,1,1,DRAW,LOW
25,2019-05-19,JUNIOR,TOLIMA,1,1,DRAW,LOW
26,2019-05-16,DEPORTIVO CALI,JUNIOR,1,2,WON,MEDIUM
