,LATITUD,LONGITUD
185,11.006770699999999,-74.8001673
16,11.01501,-74.82119200000002
248,10.9780656,-74.781797
240,10.971526800000001,-74.8057368
108,11.004017,-74.8203225
232,10.996202499999999,-74.7980303
282,11.006765,-74.8168278
22,10.978146,-74.78748409999999
127,11.0028957,-74.81881130000002
102,10.9931709,-74.803414
219,10.9848984,-74.78017249999998
9,10.979837199999999,-74.78712829999998
7,10.9771,-74.7794114
87,10.9968087,-74.8100681
79,11.0080018,-74.8222026
123,10.997987,-74.8120945
231,10.963379,-74.783424
85,10.9950587,-74.8051319
21,10.971447999999999,-74.8048699
188,10.996044,-74.801889
66,10.9898627,-74.80503440000003
122,11.0106504,-74.81947590000001
4,10.9633422,-74.79307109999998
292,10.9951325,-74.7997616
31,10.9599332,-74.7941408
115,10.9889835,-74.7844476
274,10.998793,-74.805036
182,10.9942523,-74.81225909999998
255,10.962172,-74.7749073
306,10.9688464,-74.7847053
25,10.982892800000002,-74.7778786
95,10.9532777,-74.7970881
133,11.012667800000001,-74.82332650000002
51,10.981457,-74.7867596
36,11.003249400000001,-74.8050667
55,10.980879199999999,-74.7912623
70,11.0078847,-74.8171564
289,10.989339,-74.7917523
273,10.9816451,-74.79441059999998
147,11.0009829,-74.8077428
279,10.983704300000001,-74.7815697
213,10.9971989,-74.7975694
143,10.9825608,-74.79114190000001
83,10.9868798,-74.7831735
283,10.983771,-74.78938409999998
58,10.9983184,-74.80248509999998
205,11.0049463,-74.8175542
145,10.9828188,-74.793685
14,10.959095399999999,-74.804498
82,11.0138164,-74.8263404
44,10.9827689,-74.7739455
165,11.002180699999998,-74.8065252
270,10.978356800000002,-74.8088313
233,10.9543704,-74.7968304
137,11.0012798,-74.8046848
290,11.0179491,-74.81436670000002
230,10.988721400000001,-74.8118419
19,11.010864699999999,-74.8146798
183,10.9901915,-74.80270300000002
101,11.0045029,-74.80330790000002
222,10.9943343,-74.8168731
106,10.987717,-74.7897734
107,10.9545823,-74.7974142
93,10.9953542,-74.8022462
68,11.0012621,-74.80334509999999
263,11.005801,-74.82930859999998
80,10.976911,-74.80839240000002
199,10.941360099999999,-74.7993874
104,10.9455363,-74.79883840000002
286,10.9670016,-74.79211070000002
151,10.9776657,-74.77650200000002
265,11.009440699999999,-74.82505970000003
166,10.9818234,-74.7711666
156,10.9953164,-74.8066522
47,11.0109886,-74.8286042
10,11.000179,-74.806188
236,10.9592699,-74.7851271
60,10.9751144,-74.78848409999998
17,11.0016435,-74.81900209999998
287,11.0027291,-74.80577070000002
24,10.9584588,-74.7948608
226,11.0006369,-74.8167568
294,10.9790133,-74.77873149999998
84,11.0110048,-74.8199757
212,11.005703599999999,-74.80170600000002
125,10.9881505,-74.7913516
132,10.985342999999999,-74.78880179999999
184,10.9857315,-74.7769683
90,10.9952341,-74.7958224
77,10.9590769,-74.7745168
211,10.973158999999999,-74.7833655
113,10.9833457,-74.77993690000002
227,10.9478111,-74.796093
174,10.9646487,-74.7807655
196,11.0106147,-74.8246308
149,10.9438759,-74.7950197
221,11.0021,-74.8076935
30,10.999849800000002,-74.8166824
35,11.005091,-74.8013556
1,10.980296300000001,-74.78239609999999
139,10.9907409,-74.789138
64,10.968907699999999,-74.8048111
175,10.992373599999999,-74.8019949
89,11.0041046,-74.82258709999998
74,10.9936627,-74.8135302
277,10.9907684,-74.790591
56,10.9972485,-74.8007063
191,10.9838136,-74.777582
261,10.9825786,-74.78310970000003
278,10.995513800000001,-74.8077912
34,11.003161,-74.82365
252,10.9703976,-74.78441219999998
120,10.9942397,-74.81159699999998
69,11.0027688,-74.79951659999998
267,11.0017336,-74.8170628
2,10.983006800000002,-74.78633909999998
57,11.0099045,-74.81253199999998
280,11.0033265,-74.8018561
189,10.987305300000001,-74.7882298
210,11.0101935,-74.8272948
260,10.9813749,-74.77866159999998
8,11.0000323,-74.81953
257,10.9964759,-74.8129678
141,11.0004595,-74.80274440000002
112,10.9973183,-74.8037816
39,10.9938933,-74.80303149999997
216,10.9714016,-74.8035041
94,10.9833319,-74.8034468
67,11.0031341,-74.8183944
202,10.984831699999999,-74.79800429999997
98,11.006243099999999,-74.80090109999998
194,10.9969606,-74.8065511
244,10.985261900000001,-74.7760198
130,11.016065600000001,-74.8262897
259,11.0023999,-74.8187255
298,10.9893604,-74.8030104
134,10.995779800000001,-74.8046761
121,10.9765186,-74.8068543
269,11.0006366,-74.7992663
126,10.962278300000001,-74.78398979999999
33,10.998645300000002,-74.8117193
225,11.0070276,-74.8127537
284,10.9904172,-74.7956265
237,11.0061612,-74.8133269
218,10.9855372,-74.7811648
264,11.0023163,-74.8131883
158,10.9720192,-74.7894355
235,10.9844714,-74.8081656
52,11.017853500000001,-74.8186585
253,10.9984431,-74.820031
206,10.9768643,-74.8097256
20,10.9926293,-74.8104956
150,11.006600500000001,-74.8190697
88,10.9919534,-74.7940735
167,11.001899400000001,-74.80382209999998
214,11.004040400000001,-74.8179766
92,10.9659884,-74.7898688
142,11.001980900000001,-74.82657370000003
40,11.004304,-74.8081282
152,11.0058194,-74.8002179
254,11.0081521,-74.8011879
131,10.9599332,-74.7941408
117,10.989661300000002,-74.7840489
215,11.0009055,-74.8104505
65,10.9917181,-74.79031440000001
111,10.989123800000002,-74.7820207
234,10.9712039,-74.79399520000003
246,10.9799677,-74.7812785
285,10.9860925,-74.7793988
297,10.9680692,-74.79063790000002
243,10.9838136,-74.777582
229,10.9515936,-74.78608890000002
160,10.9881052,-74.8061665
61,10.9998159,-74.8035836
180,11.008637400000001,-74.8117652
161,10.9873617,-74.78493890000001
302,11.009343300000001,-74.8132658
28,11.000071499999999,-74.7975243
48,11.0042019,-74.80059229999998
186,10.994361099999999,-74.81491559999998
75,10.992422,-74.798119
190,10.966510099999999,-74.7911115
224,11.009661900000001,-74.8270038
3,10.9772935,-74.7798796
170,10.9598037,-74.8016144
296,10.9800066,-74.7784432
0,10.956327,-74.7839071
62,11.0026222,-74.80914709999998
72,11.0031821,-74.8168348
37,11.01447,-74.82736379999999
217,11.0127308,-74.8226375
53,10.9678288,-74.7960507
96,10.9703325,-74.78504029999998
159,11.0004007,-74.81239040000001
59,10.968473399999999,-74.79520140000002
241,10.988576400000001,-74.7895198
154,10.999111599999999,-74.82228570000002
305,10.9685995,-74.80502340000002
299,10.9946462,-74.8026325
138,10.9953433,-74.8109259
303,11.0063117,-74.8052995
97,10.994402800000001,-74.81947609999997
168,10.9989782,-74.801579
140,11.0113679,-74.80456269999998
187,10.9964867,-74.8158477
100,10.986423,-74.7975661
207,10.9928996,-74.79147629999999
73,10.999071699999998,-74.81742
105,10.98066,-74.7903074
91,10.9807784,-74.80453220000003
223,10.992519300000001,-74.806522
250,10.996514900000001,-74.79369799999998
99,10.985311099999999,-74.8111269
12,11.0017022,-74.81262459999998
